Sentence,Predicted Label
I believe they will master Japanese soon because they were selected as scholarship recipients .,1
I am looking for it .,1
"Apple is a round fruit with smooth and colorful skin , red , green and sometimes gold .",1
Let It Will Be Push .,0
I rode on this ship from Sendai .,0
I thought Korean is very interesting language when I was sutdying Korean .,0
Nobody is perfect .,0
Can you lend me some money ?,0
Does anyone correct my previous article ?XD,1
"Similarly , I want to thank and for all their help and the nice time spent together , and wish to continue being together .",0
I just hope everything is going to be OK .,1
I think that I will not go to that brand shoes shop forever !,0
"for example , one hospital in Japan has ' a baby post ' which mother who can not raise her baby can leave her baby , ",1
My sister is birthday coming .,1
"Tell me , please ",0
see you,0
"In order to solve the situation , we decided to have a lunch meeting every Monday .",1
This is my first topic in my diary .,1
it seemed what I did was nothing to do with them .,1
"To achieve the purpose , this week I am trying to speak to some foreigners , and I should reduce the occasions to talk with my Japanese friends .",1
The family will support you as what she has done .,1
Students who turn their efforts to studying at university and have an intention of continuing to play in the college sports team .,1
about my hometown,0
"As I expected , I could not do well in the interview .",1
I loved it .,1
and I am having a summer vacation right now .,1
Thank you in advance .,1
"I thought that a knowledge is meaningless , if I can not use it .",0
Japan won by - ! !,0
I am just an amateur on politics but I think it is high time for us to change our political system .,1
"The size of microscopic organisms is about more than m , therefore , they can not pass through the filter membrane .",1
I am and a senior high school student .,0
I always send her flowers as her birthday present .,1
I like overseas travel .,0
"Thanks to this job , I was busy the whole time today .",0
Hello everyone here !,1
January I work very hard to complete big subject .,1
My Former cram school teacher white e - mail to me .,0
Poor little boy .,1
But we will have series of holidays five days ! !,0
I just followed some people without knowing the case .,1
"Also , the home would be better noisy .",0
Good luck to them !,0
to go to an event such as a meeting or a class,1
These sentences were very profound .,1
The problem came into being in Tokyo .,0
It was fine today .,0
I love airplane and beach but Princess Juliana airport is very far from Japan .,0
I am looking forward to reading lots of interesting stories .,1
"Hi , cheese ! !",1
I got them . why ?,0
So I am learning to dance .,1
You might want to draw comics and posters,1
I have the person whom I am hard for to deal with .,1
Let is enjoy the show !,0
"I usually write journals with the iPad , but I am writing this journal with the PC .",0
Such people who are not be able to speak in a polite way never pass job interviews or entrance interviews for schools .,0
Because I already knew my mother would never allow a dog in the house .,0
"By the way , I found that a bicycle for the man had gloves , which I remembered with a nostalgic memory .",0
Then nobody was talking about what happened after that .,0
Because most groceries were very cheap .,0
If it was said you will die after a year by the doctor .,1
I digitized it and uploaded it to my YouTube channel .,0
After a time she heard a pattering of feet and dried her eyes hastily to see what was coming .,1
"He lose her , but he might have tenderness .",1
But I have eaten up all of the chocolate .,0
My Book is acknowledgement was written .,1
It is like me .,0
It made me very depressed .,0
Chances are not savings ! !,1
"But in this way , sometimes I get up too late to have breakfast .",1
After years I will go to Korea University .,0
Raising a tobacco is price ? ?,1
I am learning Korean language .,0
"So I realized that some people do not think I smell spring ! when they go outside in the day at the beginning of spring , like today .",0
"Then , today I received the manual and it is the worst nightmare in my life it has pages all technical English .",1
Kids Confuse English and Native Language,1
Why is that ?,0
We met here after years .,1
I saw windows falling down from upstairs .,1
I do not like raisins .,0
It is time to read some English News .,0
At that very moment she opened her eyes and smiled .,1
Some people argue that whether a person gambles or not is personal freedom .,1
I feel like playing guitar .,0
I get motivation a little .,0
But this summer is terrible .,0
